hasil_preprocessing;pos_score;neg_score;final_score;label
intraday kripto;0;0;0;netral
ton foundation kingsway capital rencana tingkat juta bendahara toncoin;5;0;5;positif
ton foundation kingsway capital rencana naik juta ton treasury usaha kelola pegang toncoin token asli blockchain ton kait telegram galang dana sepakat pipe langkah bantu tingkat lembaga;27;5;22;positif
ton foundation kingsway capital rencana tingkat modal juta bendahara toncoin orang analisis jam ton;11;0;11;positif
ton foundation kingsway capital tetap target dana juta kuat toncoin langkah ekosistem ton tumbuh jangkau investor lihat toncoin tarik perhati infrastruktur teknologi;24;0;24;positif
ton foundation kingsway capital rencana kumpul juta bendahara toncoin;4;0;4;positif
ton foundation kingsway capital rencana tingkat juta bendahara toncoin;5;0;5;positif
breaking ton foundation kingsway capital rencana kumpul juta tuju bendahara toncoin tumbuh ekosistem ton aman dukung ton jangka;20;0;20;positif
kembang signifikan bentuk lanskap uang desentralisasi ton foundation kingsway capital lapor target inisiatif galang dana juta;15;0;15;positif
ton foundation kingsway capital rencana kumpul juta bendahara toncoin;4;0;4;positif
bloomberg kutip orang orang ton foundation kingsway capital rencana kumpul juta usaha uang kripto toncoin bendahara usaha uang nama adopsi struktur kenal ekuitas publik investasi swasta dasar struktur usaha publik jual saham kelompok investor kingsway;17;5;12;positif
menang toncoin;4;0;4;positif
lapor pasar foundation capital rencana kumpul ton target juta tuju bendahara toncoin cadang uang virtual;11;0;11;positif
informasi berita pasar ton foundation kingsway capital rencana kumpul us juta bendahara toncoin;6;4;2;positif
ton foundation kingsway capital rencana tingkat juta bendahara toncoin;5;0;5;positif
ton foundation kingsway capital rencana naik juta bendahara toncoin;7;0;7;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin bbg;5;0;5;positif
telegram luncur dompet ton non tahan juta guna as kirim terima kelola kripto toncoin usdt obrol ekstensi;8;0;8;positif
ton foundation kingsway capital rencana kumpul juta toncoin treasury;4;0;4;positif
just in ton foundation kingsway capital rencana tingkat juta toncoin treasury;5;0;5;positif
ton foundation kingsway capital rencana kumpul us juta bendahara toncoin aggr news ton foundation kingsway capital rencana kumpul us juta bendahara toncoin toncoin foundation;8;0;8;positif
ton foundation kingsway capital rencana kumpul juta kuat bendahara toncoin;7;0;7;positif
ton foundation kingsway capital rencana kumpul juta kuat bendahara toncoin;7;0;7;positif
ton foundation kingsway capital rencana kumpul juta beli;6;0;6;positif
ton foundation kingsway capital rencana kumpul juta toncoin treasury btc;4;0;4;positif
ton alami turun konsolidasi mati grafik bentuk titik rendah dukung telegram toncoin milik salah narasi dunia nyata kuat kripto;25;19;6;positif
berita pasar ton foundation kingsway capital rencana kumpul juta toncoin treasury berita pasar ton foundation kingsway capital rencana kumpul juta toncoin treasury btc;8;8;0;netral
okx spot usdt juta raih atas sd stader raih menang ton toncoin momentum bullish ern catat cadang ethos naik stabil cundang atas spk sparkspay hati hati cvx uang cembung;28;11;17;positif
breaking kembang toncoin ton ton foundation umum mitra bendahara ton usaha;7;0;7;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin ton;5;0;5;positif
ton foundation kingsway capital rencana tingkat juta bendahara toncoin;5;0;5;positif
tingkat toncoin nila juta umum tanda minta institusional kuat ekosistem ton dukung proposisi nilai harap ton kuat iring dana bendahara cepat kembang adopsi;35;2;33;positif
breaking news kembang toncoin ton ton foundation umum harta karun ton kerjasama usaha;8;0;8;positif
rencana galang dana ton foundation kingsway poin dana skala awas kembang ton foundation kingsway umum kerja rencana kuat uang toncoin nila juta lapor bloomberg perhati tingkat terjemah asli ton;36;0;36;positif
ton kingsway capital toncoin treasury;0;0;0;netral
aggrnews ton foundation kingsway capital rencana tingkat juta treasury toncoin bbg ton;5;0;5;positif
ton foundation kingsway capital tuju kumpul juta bendahara toncoin;5;0;5;positif
ton foundation kingsway capital rencana galang dana juta bendahara toncoin;8;0;8;positif
ton foundation kingsway capital rencana mobilisasi juta usd dana cadang toncoin;10;0;10;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin;5;0;5;positif
ton foundation kingsway capital rencana tingkat juta treasury toncoin bbg;5;0;5;positif
ton foundation kingsway capital rencana kumpul juta bendahara toncoin bloomberg komentar cerdas buat news tr ton foundation kingsway capital rencana kumpul juta bendahara toncoin bloomberg salur telegram;9;0;9;positif
btc gt k eth gt k xrp gt bnb gt sol gt doge gt sui gt avax gt ltc gt ton gt apt gt kas gt op gt musim banteng;0;3;-3;negatif
bakar sekian;1;0;1;netral
pikir kolektif dictatorcrypto dictatorcrypto angka;1;0;1;netral
grafik minggu toncoin entri target likuiditas sisi beli utama fib bar sempurna henti potensi naik lewat leg lewat leg;18;4;14;positif
ton wallet sedia telegram guna as kirim usdt toncoin nft langsung obrol pegang shib mudah jangkau guna dunia nyata baca adopsi utilitas;21;2;19;positif
btc gt k eth gt k xrp gt bnb gt sol gt doge gt sui gt avax gt ltc gt ton gt apt gt kas gt arb gt musim banteng;0;3;-3;negatif
ver jelas aset kripto toncoin toncoin ton;1;0;1;netral
teknologi umat manusia tunggu aktivasi;9;0;9;positif
toncoin ton luncur juta guna as akses ton wallet;5;0;5;positif
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
ayo pompa kontrak eqcyqwmxsfxpdoft bxnac azyak kkoilwpsmte mrag;4;0;4;positif
pahala jujur percaya dedikasi cita cita sifat manusia abai;11;3;8;positif
permata total juta x kontrak eqcyqwmxsfxpdoft bxnac azyak kkoilwpsmte mrag target;5;0;5;positif
pesan stiker meme kirim kripto ton cryptocurrency telegram satoshi tango ajar toncoin thread;5;0;5;positif
ok ok ok ekosistem ton ulas ikhtisar ekosistem ton toncoin token asli the open network ton blockchain lapis skalabilitas fitur fitur ton dns ton storage ton proxy mini apps telegram milik juta guna aktif;20;3;17;positif
toncoin;0;0;0;netral
ave;0;0;0;netral
ave;0;0;0;netral
orang amerika beli toncoin murah dolar;4;0;4;positif
ave;0;0;0;netral
ton level tinggi;3;0;3;positif
sekian;0;0;0;netral
cipta peluang;0;0;0;netral
ton satu blockchain tetap koordinat kembang digital teknologi umat manusia tunggu aktivasi;18;0;18;positif
pahala jujur percaya abdi cita cita kodrat manusia abai;15;3;12;positif
transaksi ambil toncoin;4;5;-1;netral
jalan simbiosis ton telegram unik ungkap sepenuh;3;0;3;positif
sec tunda putus aplikasi etf bitcoin toncoin telegram luas fitur blockchain;6;4;2;positif
respons pasar toncoin ton lonjak untung minggu untung bulan dukung momentum dompet adopsi guna nyata;27;1;26;positif
jelajah pilih kapital rendah potensi naik kuat;16;7;9;positif
bicara dunia defi kompleks jaya upaya adopsi ekosistem kripto proporsi multichain mungkin milik usaha ethereum;8;1;7;positif
toncoin ton bel hasil uang cryptocurrency telegram uang;3;0;3;positif
tahap minggu turun performa lumayan adopsi ulang;2;0;2;positif
dictatorcrypto komunitas makna hidup satu tuju nilai nilai hidup prinsip moral;31;0;31;positif
atas buruk jam atas bnb bnb mantle mnt pudgy penguins pengu ethena ena toncoin ton dogecoin doge;0;11;-11;negatif
gerak kripto ubah jam shiba inu cardano aave jaring pi hedera dogecoin toncoin pimpin kripto harga jam bitcoin ethereum xrp solana;6;0;6;positif
prediksi toncoin ton jam zona beli zona jual level dukung level resistensi stop loss kisar harap jam;16;4;12;positif
jalan ton sempurna;3;0;3;positif
mari temu memecoin ledak ledak;6;8;-2;negatif
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
cekal guna sisa laku;1;4;-3;negatif
chainlink link hyperliquid hype sui stellar xlm ethena usde bitcoin cash bch longsor avax hedera hbar litecoin ltc leo toncoin ton;2;0;2;positif
aset digital langka nama guna colok bayar k ton harga wajar harga sedia bayar sedia;18;5;13;positif
hadiah ruang alfa koneksi fokus temu peluang untung cepat pasar kripto sorot protokol fiva blockchain toncoin bicara bahas protokol fiva platform tokenisasi hasil aset teth;22;3;19;positif
a e;0;0;0;netral
ton lampau dimensi mata uang;0;2;-2;negatif
toncoin ton toncoin konsisten tarik perhati pasar grafik ton dagang salur minggu harga konsolidasi resistance tembus cepat gera;13;0;13;positif
ave;0;0;0;netral
selamat malam ikut ton radar;5;4;1;netral
patut syukur hormat tim jaga aman mati tani susah payah penjara dekat durov cinta proses sulit redo lawan;22;14;8;positif
guna ton sukacita tukar toncoin koin token instan harga baik antara biaya sembunyi sakit kepala defi sederhana mesti coba tukar;16;8;8;positif
agustus mata uang kripto atas inu;0;6;-6;negatif
baru pasar mata uang kripto bitcoin ethereum bnb solana toncoin indeks takut serakah serakah;1;2;-1;netral
tangkap acau ton investor seret investasi turun tindak hidup toncoin bitcoin ton;3;7;-4;negatif
kripto ungkap toncoin dorong dekat turun pasar telegram luncur ton wallet defi nft amp memecoin bawa dorong tumbuh besar pimpin jalur adopsi massal;13;4;9;positif
toncoin main blockchain generasi janji;2;3;-1;netral
intraday kripto;0;0;0;netral
pt iii pilih atas tokenfocusfitur kunci protokolsiap ai pengembangdepin jembatan ai toncoin ton l asli telegramadopsi ritel skala cardano desain utama teliti algorand tata kelola algo uang tingkat institusistabil patuh;17;10;7;positif
ave;0;0;0;netral
temu token ton beda pangkal cari big tony tony wrapped ton coin toncoin tony the tiger tonythetiger selesai;4;5;-1;netral
orang orang bicara token pikir harga ambil pandang luas ton portofolio lapor teliti toncoin tonjol skalabilitas sharding kuat telegram;15;5;10;positif
kenal ton native token ton toncoin mata uang utama blockchain ton ton bayar biaya transaksi tukar token beli nft akses aplikasi web mudah tukar ton token instan;18;6;12;positif
verb technology usaha strategi ton milik aset juta juta toncoin langkah berani guncang norma kaya kripto bentuk hilang dapat alih kuasa;24;3;21;positif
ton integrasi sistem uang global sistem ketenagakerjaan universal;3;8;-5;negatif
orang orang ton orang orang kuat insan ton wajib kembang;6;2;4;positif
jalan baru sistem uang;0;4;-4;negatif
orang bagi orang;2;0;2;positif
e pluribus unum;0;0;0;netral
diktator realitas ton integrasi sistem uang global sistem buruh universal;3;11;-8;negatif
ave;0;0;0;netral
toncoin ton uji ulang support rebound september sinyal teknis agam beli perhati atur rebound;22;0;22;positif
toncoin dorong tesis adopsi massal dukung jangkau telegram ton ubah dompet aplikasi super bayar identitas defi asli obrol l kripto hubung ux hari;11;7;4;positif
kerja ringkas pekan usaha umum hak asuh juta aset treasury juta toncoin ton harga masuk stop loss rilis senin;20;9;11;positif
ton dar blockchain fungsi sistem operasi bentuk kerangka kerja tumbuh digital terap kembang tanda potensi jangka kuat;21;6;15;positif
ton lampau dimensi moneter;0;0;0;netral
pria gemar nyanyi wlfi online harga lebih mari fakta bukti orang bodoh jahat harga satu nilai pasar edar miliar hitung dasar edar miliar koin total nilai pasar bnb sol nilai pasar mata uang kripto top harga satu nilai pasar edar miliar hitung edar miliar koin bnb solana xrp dogecoin toncoin;61;12;49;positif
ton satu orang orang ikat tuju tuju;10;0;10;positif
diktator realitas ton integrasi sistem uang global sistem buruh universal;3;11;-8;negatif
bitcoin simpan juta;2;3;-1;netral
terbit analisis teknis hari agustus telegram tradingview;4;0;4;positif
yo toncoin tonton getar telegram pepe pompa asap hype defi makan stargate eth turun banteng menang beruang tertawa sunyi musk tanda tipu web kerja koin ai fleksibel memecoin kacau murni hodl dapat rekt;17;9;8;positif
implementasi skala penuh darat air udara luar;1;9;-8;negatif
implementasi skala penuh darat air udara luar;1;9;-8;negatif
teknologi ton kota cerdas negara negara maju undang undang sesuai kembang dunia;11;1;10;positif
dictatorcrypto keluar putus baru sistem hukum dunia baru sistem uang;7;11;-4;negatif
yo crypto bros pepe lamun btc eth makan kotor hype hyperliquid capai hype or bust beli toncoin nila juta usaha fleksibel tipu likuiditas awas koin ai dyor dapat rekt pasar pesta meme;22;5;17;positif
mudah tonton toncoin prediksi harga;10;4;6;positif
hype lamun katak pepe teriak fomo paus toncoin lentur eth darah web shills pump rugs vitalik hela nafas nft insta cacat beli kasino crypto bangkrut bangkrut;10;17;-7;negatif
halo harga mata uang kripto dasar kapital pasar pasar kripto global batas triliun tingkat turun;6;5;1;netral
toncoin;0;0;0;netral
toncoin ton peringkat kapital pasar m harga integrasi ekosistem telegram remeh jangkau jaring pesan sosial;19;0;19;positif
koin ai fet edar memecoin pepe gonggong perhati beli toncoin nila juta telegram fleksibel kawan sec rengek crypto liar jinak pilih kuda poni pasar balap buas;8;7;1;netral
ringkas toncoin ytd;0;2;-2;negatif
hasil ton tari mudah;8;0;8;positif
toncoin ton analisis teknis tren instan harga jam dukung dukung pita dukung utama resistensi jangka pendek jangka tengah sinyal teknis tren;28;8;20;positif
hype capai katak pepe menang renang fleksibel toncoin nila juta hasil uang bau permadani vitalik berita injil layer jebak kasino kripto lipat hodl degens langkah;23;8;15;positif
karya aset tren nft sejati tinggal pecah hilang;10;2;8;positif
ton teknologi global elak sadar teknologi untung maksimal;9;3;6;positif
ton teknologi global hindar sadar oleh manfaat maksimal;10;0;10;positif
jalan;0;0;0;netral
dictatorcrypto baru sistem uang;0;4;-4;negatif
yo memecoin degens pompa doge pepe vitalik berita koin ai injil layer fet lamun hantu sec hantu fleksibel juta toncoin telegram simps liar crypto sirkus badut;8;4;4;positif
usia era cepat ultra era pikir ultra cepat;5;0;5;positif
koin ai pompa memecoin bulan pilih degen racun btc eth sandung kejar impi toncoin dompet awas sec retas pikir hasil hodl dapat rekt;10;14;-4;negatif
ton toncoin beli tahan target;3;0;3;positif
ton toncoin beli tahan target ton;3;0;3;positif
goldman sachs pasar stablecoin capai triliun dolar;4;0;4;positif
kripto minta bitcoin turun minat ethereum altcoin tingkat;8;0;8;positif
agustus mata uang kripto atas inu;0;6;-6;negatif
tuan pavel durv gagal jatuh notcoin situasi pasar pompey gagal jaring telegram toncoin kecewa manajemen dasar bumi ambruk kenap;4;16;-12;negatif
tuan pavel durv gagal jatuh notcoin situasi pasar pompey gagal jaring telegram toncoin kecewa manajemen das;4;11;-7;negatif
temu wawas liar teknologi verb toncoin main jajah;4;5;-1;netral
juta investasi verb bendahara cadang ton verb technology company inc umum aset bendahara lebih juta juta toncoin ton mata uang;10;2;8;positif
baru pasar mata uang kripto agustus bitcoin btc ethereum eth bnb bnb solana sol toncoin ton indeks takut serakah serakah;1;2;-1;netral
domain dunia inspirasi taruh toncoin m verb bendahara altcoin a;5;3;2;positif
tahu lupa tag memo jual toncoin dana jalan blokir olah jebak jalan hasil masuk akun luang detik periksa tag memo konfirmasi;18;11;7;positif
aplikasi defi defi bangun blockchain ton mudah konversi toncoin token blockchain ton;4;4;0;netral
kerja bendahara toncoin nila juta altcoin hype tumpu usaha bitcoin pimpin;8;0;8;positif
artikel terbit seeking alpha tulis logis beli toncoin saham verb;2;4;-2;negatif
hai saudara kripto pepe lamun btc eth makan kotor hype hyperliquid dopamin murni miliar tambah meme elon keringat vitalik toncoin uang paus pasar sirkus badut gabung kacau;7;10;-3;negatif
intraday kripto;0;0;0;netral
btc eth pasar alami darah memecoin pepe bulan sirkus kripto khas hodlers menang degens kembang pompa toncoin nila juta bau rugpull telegram koin ai mimpi kawan teknologi pilih keluarga racun;25;15;10;positif
pasar alami darah pepe lemah cardano pikir balik eth hahaha moga hasil pompa toncoin nila juta timbul sensasi hodl dapat rekt degens web masak sedak fomo;22;14;8;positif
tangki btc eth hodlers menang tangan lemah toncoin lamun memecoin doge gonggong keras sec hantu cadang kripto trump semangat koin ai lentur badut nft pudar web turun terus mimpi tangguh;29;0;29;positif
smeone u know periksa turut bodoh masuk nama guna tg nya toncoin;1;11;-10;negatif
teknologi verb investasi m bendahara toncoin usaha teknologi verb komitmen toncoin kumpul token nila juta teknologi verb kumpul juta bentuk toncoin ton juta bentuk cadang tunai;22;0;22;positif
perspektif jam alias verb hasil m tunggu milyar guna bulan dukung ekosistem amp co distribusi ratu;14;1;13;positif
ayo temu permata ton;9;0;9;positif
jam ton volume dagang juta kejut tebak tambah bendahara cadang juta akumulasi kerja coin;20;0;20;positif
koin ai fet tingkat doge kejar ekor sec peran polisi kripto liar jinak fleksibel juta toncoin imut imut bangun vitalik jatuh pukul sungguh hodl payudara turun;10;11;-1;netral
coba bot dex telegram tukar toncoin mudah token harga baik cepat sederhana dukung ikut informasi;24;5;19;positif
berita web tldr ethereum tembus ath sinyal fed potong september tron proses stablecoin t file grayscale xrp etf kerja beli m toncoin apple tambal rentan kripto jual token zkc batas bayar sewa bitcoin dubai bitcoin;10;13;-3;negatif
darah pasar btc eth posisi beli miliar hapus toncoin lentur tas nila juta telegram tertawa defi makan m ampa sarap wormhole lahap stargate koin ai bot vitalik hodl menang pilih degens;23;7;16;positif
milik toncoin serius kumpul dukung ton jangka;8;5;3;positif
ajar daki gunung terjal;1;4;-3;negatif
verb technology ton strategy company aset treasury nila juta juta toncoin dorong strategi akumulasi ton nya;9;0;9;positif
cari kali daki gunung curam;0;7;-7;negatif
selamat pagi harga mata uang kripto dasar kapital pasar pasar kripto global batas triliun tingkat turun;11;5;6;positif
halo teman teman bayang dagang stonfi khawatir biaya bahan bakar pegang toncoin biaya bahan bakar solusi inovatif dagang mudah akses nyaman tawar fitur transaksi gas guna swap;24;16;8;positif
prapenjualan bullzilla langsung potensi roi jelajah risiko jaring monero gera paus toncoin analisis kripto atas gabung;12;12;0;netral
laptop bakar sila beli karya seni harga alamat dompet toncoin uqbwdszdrmlpltxxclz pbtimusaqbtguojjgqriaci;11;0;11;positif
kondisi penuh lus ketat pasok kembang peti perang toncoin luncur beli saham nila juta beli saham harga;14;6;8;positif
pol roket terus tonton;0;7;-7;negatif
pol roket pantau applog;2;3;-1;netral
bangun ton langkah langkah;8;0;8;positif
punya ngak muncul tombol mint btw group indo nya sus bahas toncoin;6;3;3;positif
uqasqmyynewefxdnitjeima avrtbwfixktvpvblvena alamat dompet ton jaring toncoin;3;0;3;positif
intraday kripto;0;0;0;netral
grafik ukur kuat arah tren macd rsi ton ltc uni dot xmr ena aave near rabu september macd;7;2;5;positif
peta zona pendek ton ltc uni dot xmr ena aave near rabu september zona pendek ayah foufi zona celana pendek;3;0;3;positif
tumbuh organik kalah hype pasar lanjut terobos nyata;9;4;5;positif
ambil kantong tcult ca eqdfejbvnocgdqumicqdscaiwykjfrxjfotjrhabuk;1;5;-4;negatif
detail ton bawa pasar tingkat;4;0;4;positif
sinyal bullish pasar altcoin perhati litecoin filecoin toncoin;9;0;9;positif
crypto toncoin ton sinyal oversold potensi balik bullish;6;3;3;positif
toncoin ton capai wilayah oversold sinyal balik bullish muncul harga ton dagang rsi kondisi oversold analisis teknis potensi pantul level support utama btc;22;3;19;positif
bagus;3;0;3;positif
september toncoin ton dagang usd cermin koreksi level tinggi volatilitas pasar luas ruang kripto bullpost;9;3;6;positif
bentrok bnb toncoin positif tahan;4;5;-1;netral
terima putus tindak cepat;7;0;7;positif
perhati grafik ton tanda sumbu tanggal juni flush kuat aksi harga zona akumulasi ath;13;6;7;positif
muat safe patut tiru;2;0;2;positif
bangun aman;3;0;3;positif
senang ton terap cetak biru tumbuh lanjut visi jangka inspirasi bangun safe dagang dorong bukti;15;6;9;positif
pudar ton;2;0;2;positif
kunci ton;3;0;3;positif
ayo berangkat;4;4;0;netral
pasar lanjut dengar bagus sadar tim anggap viral strategi;9;4;5;positif
senang akhir fokus tumbuh lanjut tingkat ekosistem ton semangat;18;0;18;positif
blockchain buka tingkat;4;0;4;positif
kunci;3;0;3;positif
lfg;0;0;0;netral
bangun;0;0;0;netral
lfg ton;0;0;0;netral
sabar tren;5;2;3;positif
scale menang sprint lanjut menang maraton kawan kendara;10;0;10;positif
seri ton marketing bangun mesin pasar tumbuh lanjut jangka capai skala optimalisasi tumbuh gabung lanjut pasar ton resmi ton hub blog ekosistem;19;5;14;positif
nilai tukar sowget naira dolar mata uang e beli jual bitcoin instaforex biner usdt solana toncoin volet rahmat tuhan george weah chiesa amin;15;5;10;positif
peta likuidasi ton ltc uni dot xmr ena aave near rabu september peta likuidasi foufi peta;0;0;0;netral
komunitas kembang sulit bangun dcr vet movr tao ton near xvs xno omni kda;5;0;5;positif
orang rugi orang rugi hukum tindak hati hati;7;8;-1;netral
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
dunia bangun paham manusia dasar harap iman manusia kali uji;14;0;14;positif
hyperliquid gabung metamask toncoin sandung presale kripto x bullzilla lonjak lewat k;6;10;-4;negatif
tugas distribusi toncoin massal dompet laku pegang filosofi dasar penting universal orang untung raksasa uang sistem desentralisasi;10;7;3;positif
langsung tukar toncoin koin token harga baik panggil kunjung;13;1;12;positif
a e ton blockchain;0;0;0;netral
bendera merah rf;4;3;1;netral
garis merah rf;4;3;1;netral
addton arbiex daya dagang arbitrase otomatis bursa pusat desentralisasi buka peluang untung cepat transparansi presisi kode eksekusi manual;17;3;14;positif
cronos cro toncoin ton shiba inu shib polkadot dot mantle mnt laku riset nasihat finansial;0;3;-3;negatif
jalan sulit satu jalan resistensi eksternal tingkat kuat orang orang ubah dunia dunia hukum atur;16;0;16;positif
intraday kripto;0;0;0;netral
waaaaaah ton hanyut sumbu likuidasi hati hati garis tren support doa;14;5;9;positif
a e;0;0;0;netral
ton sedia dompet ecd baca toncoin blog;5;0;5;positif
mata uang kripto miliarder potensial lewat toncoin ton ripple xrp celestia tia ondo finance ondo cardano immutablex imx artificial superintelligence alliance asi stellar xlm vechain vet;2;2;0;netral
proyek tahan buat toncoin fungsi delegasi validator imbal kuat aman ton sama tumbuh uang lanjut ekosistem kuat tahan kontribusi selaras;24;4;20;positif
koin tipu toncoin;0;0;0;netral
harga toncoin turun rendah level guna bisnis tonx koin dasar turun stabil trx tron tahan volatilitas pasar;12;5;7;positif
addton pegang ton capai ath juta;6;2;4;positif
umat manusia laku ubah dunia cipta;7;0;7;positif
proyek dampak web proyek kumpul token proyek aktif modal situ beda biar toncoin anggur delegasi validator;5;13;-8;negatif
hbar toncoin litecoin rasa panas narasi gerak cepat banding turun suku bunga gesit tunggu pasti bayar premi alt tonton;18;10;8;positif
selamat pagi ton tonjol l utama nol saing langsung paham fundamental ton ikut kembang kini kunci posisi kuat;21;10;11;positif
pikir toncoin lonjak laku;5;0;5;positif
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet dewa ajaib usdt messi;9;0;9;positif
addton ton milik juta pegang token tempat top l;6;5;1;netral
hyperliquid gabung metamask toncoin sandung presale kripto x bullzilla lonjak lewat k;6;10;-4;negatif
harga ton turun toncoin rsi capai wilayah oversold;8;0;8;positif
harga toncoin turun sinyal rsi status oversold dunia cryptocurrency ubah toncoin alami turun harga signifikan dagang turun hari turun tarik perhati dagang investor indeks kuat relatif rsi toncoin turun rsi;17;3;14;positif
harga crypto toncoin ton turun rsi tanda kondisi oversold;4;2;2;positif
ton harga turun toncoin rsi capai wilayah oversold toncoin dagang ton rsi tanda kondisi oversold indikator teknis potensi pantul level support btc;14;7;7;positif
sinyal rsi ton rsi dekat level oversold wawas toncoin ton temu kuat sinyal teknis bullish rsi nya turun ambang batas oversold hitung lelah td sequential red muncul grafik;17;3;14;positif
sektor pasar kripto turun turun jam kisar sektor socialfi pimpin turun sektor toncoin ton turun galxe gal lawan tren bitcoin btc turun turun ethereum eth turun turun sisi sektor sektor layer turun jam;10;2;8;positif
dukung toncoin;4;0;4;positif
telegram milik fitur ngobrol bayar toncoin;3;0;3;positif
longsor avax sui stellar xlm bitcoin cash bch hedera hbar unus sed leo litecoin ltc cronos cro toncoin ton shiba inu shib polkadot dot mantel;2;0;2;positif
selamat pagi harga mata uang kripto dasar kapital pasar kapital pasar kripto global triliun turun turun;11;2;9;positif
bukti percaya ton lihat pegang pasok daftar publik nasdaq milik unggul transparansi telegram dorong tumbuh toncoin bangun dekade siklus;15;5;10;positif
kuat dominasi tindas budak hancur;10;5;5;positif
pergola moral besar iman kuat refleksi aktif terus;19;0;19;positif
biar materi kembang pikir;5;0;5;positif
grafik grt uxlink resmi trump grass ethena ena useless coin toncoin ton aiz dohrnii dhn venom holoworld ai holo cookie dao;2;0;2;positif
bohong seni untung hukum permanen;11;5;6;positif
malam teleskop pikir buru nebula muda hidup hidup finansial sedih olah nebula muda energi beri hidup sumber cahaya khusus alamat toncoin uqbwdszdrmlpltxxclz pbtimusaqbtguojjgqriaci;13;10;3;positif
tunggu tayang perdana;4;0;4;positif
salah alas optimis pegang ton bangun bendahara usaha publik m toncoin taruh kembang eksposur pasif akumulasi strategis skala;15;6;9;positif
ton level tinggi;3;0;3;positif
bicara diam obrol;1;0;1;netral
intraday kripto;0;0;0;netral
orang usaha korporasi gegas telegram ton uang;1;0;1;netral
baru analisis ton;4;0;4;positif
larry fink kepala blackrock aju minta akuisisi saham ton strategy usaha akumulasi toncoin strategis modal tolerir stagnasi putus diktatorcrypto;11;8;3;positif
harga ton turun toncoin ton turun jam kerja buruk pasar kripto luas gerak utama risiko pasok ikan paus ton pegang dompet kuat volatilitas harga perinci teknis langgar;16;8;8;positif
toncoin ton turun tajam turun jam harga tekan jual lanjut;13;9;4;positif
selesai program staking toncoin sasar staking gabung addton tingkat hasil ton daftar toncoin potensi kuat toncoin daftar etf;13;5;8;positif
toncoin ton bel hasil uang cryptocurrency telegram uang;3;0;3;positif
token cari jam coingecko;0;3;-3;negatif
a e automobil lamborghini style orang kristal gaya;0;0;0;netral
sejahtera tingkat paham rumus sederhana hadir tindak;6;0;6;positif
baik beli ton muat dasar gerak buruk toncoin;5;3;2;positif
a e musim main;2;0;2;positif
dictatorcrypto perintah pasar bangkit;2;0;2;positif
salah proyek toncoin milik peran utama pompa;1;4;-3;negatif
a e angka;0;0;0;netral
ave ton;0;0;0;netral
tumbuh toncoin dukung main struktur yakin jangka tonjol ubah milik ton dukung jaring aktif staking skala beli konsisten spekulasi;30;0;30;positif
teddie memecoin ton inspirasi beruang ramah pilih bagus milik jangka pendek;13;5;8;positif
jujur bukti visi imbang eksekusi konsisten kembang toncoin dar token posisi komponen kunci strategi luas global tonx jaring telegram langkah langkah;28;3;25;positif
a e megatrend stiker hadir akumulasi;5;0;5;positif
a e;0;0;0;netral
a e;0;0;0;netral
a e distribusi partisipasi tunggu hasil;10;0;10;positif
ton maju maju teknologi ton dukung fungsi fungsi umat manusia skalabilitas batas ton tentu perbaruifinancialsystem;10;6;4;positif
peta jalan tantang peta jalan fokus utilitas inti nft hub luncur jaring bayar lapis capai interoperabilitas btc teleport;11;4;7;positif
utilitas toncoin metrik pasar ton biaya staking layan iklan langgan capai ath ekosistem cakup main defi dex staking pusat pusat biaya sedia likuiditas;18;0;18;positif
jalan blockchain life;0;2;-2;negatif
a e ton satu blockchain tetap koordinat kembang digital telegram ton bentuk simbiosis teknologi ideal;16;0;16;positif
ave ton ave dictatorcrypto;0;0;0;netral
intraday kripto;0;0;0;netral
dictatorcrypto cipta;0;0;0;netral
berita kini dunia kripto bursa desentralisasi dex muka bangun toncoin sedia atomic wallet dapps store halang defi generasi lenyap tukar dagang libat amm cepat ton langsung;12;15;-3;negatif
ton tren pengambilalihan wemby jatuh pts reb blk wembanyama buat mudah daki toncoin spurs permata gebrak mvp nyata gerak menang crypto cerah btc turun pegang jangka pendek;22;8;14;positif
toncoin sedia binance tangguh konversi koin kripto toncoin biaya;7;0;7;positif
rilis stiker resmi automobil lamborghini langsung cepat penting;13;0;13;positif
konsep hadiah beli jual hadiah portal pasar;11;0;11;positif
a e legiun;0;0;0;netral
fokus utama target ton toncoin informasi saran investasi dyor cari prediksi target harga ton analis;13;3;10;positif
a e tindak sepenuh selaras jalur bangun manusia bentuk tindak;10;4;6;positif
a e ton fam tonkeeper;0;0;0;netral
a e game utama orang libat dalam orang sadar;7;0;7;positif
praktik baik aman kontrak cerdas toncoin;6;0;6;positif
hasil sesal besok web hadir;6;0;6;positif
orang dapat;2;0;2;positif
